text,label
"Could you look into why No one is responding to my complaint?",Complaint
"Still waiting for a reply regarding my issue: No one is responding to my complaint (variation 4).",Complaint
"I'm writing to complain about the fact that No one is responding to my complaint (variation 4).",Complaint
"My problem is that No one is responding to my complaint.",Complaint
"Can someone please address this? No one is responding to my complaint (variation 3).",Complaint
"I haven't heard back about my complaint: No one is responding to my complaint (variation 2).",Complaint
"Is anyone looking into my complaint? No one is responding to my complaint (variation 1).",Complaint
"Unfortunately, No one is responding to my complaint (variation 2).",Complaint
"There seems to be a problem: No one is responding to my complaint.",Complaint
"This situation is unacceptable: No one is responding to my complaint (variation 3).",Complaint
"I need to report an issue: No one is responding to my complaint (variation 1).",Complaint
"Regarding my recent experience: No one is responding to my complaint (variation 4).",Complaint
"I'm dissatisfied because No one is responding to my complaint.",Complaint
"Could we schedule a time to talk about this? Can we schedule a call (variation 3).",Meeting Request
"Let's set up a call to discuss. Can we schedule a call.",Meeting Request
"Need to schedule a discussion. Can we schedule a call (variation 2).",Meeting Request
"Proposing a meeting: Can we schedule a call (variation 4).",Meeting Request
"I'd like to arrange a meeting regarding: Can we schedule a call (variation 1).",Meeting Request
"Can we find a time to connect? Can we schedule a call (variation 3).",Meeting Request
"Are you available for a quick sync? Can we schedule a call.",Meeting Request
"What's your availability for a chat? Can we schedule a call (variation 2).",Meeting Request
"Just wanted to say thanks: I appreciate the help (variation 3).",General Feedback
"Your help was much appreciated! I appreciate the help.",General Feedback
"Positive feedback regarding: I appreciate the help (variation 4).",General Feedback
"Grateful for your help. I appreciate the help (variation 2).",General Feedback
"Thanks again for everything. I appreciate the help (variation 1).",General Feedback
"Really value your assistance with this. I appreciate the help (variation 3).",General Feedback
"Just wanted to say thanks: I appreciate the help (variation 4).",General Feedback
"Your help was much appreciated! I appreciate the help (variation 2).",General Feedback
"I am requesting a refund because I want a refund (variation 1).",Complaint
"Please process a reimbursement; I want a refund.",Complaint
"My problem is that I want a refund (variation 2).",Complaint
"I require my money back since I want a refund (variation 3).",Complaint
"I'm writing to complain about the fact that I want a refund.",Complaint
"This situation is unacceptable: I want a refund (variation 4).",Complaint
"Could you look into why I want a refund (variation 1).",Complaint
"I'm dissatisfied because I want a refund (variation 2).",Complaint
"Checking the status of my shipment: Has my package shipped yet (variation 3).",Order Update
"Has my item been dispatched yet? Has my package shipped yet.",Order Update
"Confirmation needed: Has the order been sent? Has my package shipped yet (variation 4).",Order Update
"Has shipment occurred for my order? Has my package shipped yet (variation 2).",Order Update
"Checking if my package is on its way. Has my package shipped yet (variation 1).",Order Update
"Could I get an update on my order? Has my package shipped yet (variation 3).",Order Update
"Any news on when my order will arrive? Has my package shipped yet.",Order Update
"Following up on my order status. Has my package shipped yet (variation 4).",Order Update
"This service level is poor: This is unacceptable service (variation 2).",Complaint
"I'm quite unhappy with this: This is unacceptable service.",Complaint
"This experience was very unsatisfactory: This is unacceptable service (variation 4).",Complaint
"I need to report an issue: This is unacceptable service (variation 3).",Complaint
"Unfortunately, This is unacceptable service (variation 1).",Complaint
"I'm dissatisfied because This is unacceptable service (variation 2).",Complaint
"Can someone please address this? This is unacceptable service.",Complaint
"There seems to be a problem: This is unacceptable service (variation 4).",Complaint
"Great job on this: Thanks for resolving the issue (variation 1).",General Feedback
"Satisfied with the resolution. Thanks for resolving the issue.",General Feedback
"Appreciate you resolving this quickly. Thanks for resolving the issue (variation 4).",General Feedback
"Glad the issue is now fixed. Thanks for resolving the issue (variation 3).",General Feedback
"Things worked out well, thanks. Thanks for resolving the issue (variation 2).",General Feedback
"Thanks for sorting out the problem. Thanks for resolving the issue (variation 1).",General Feedback
